name,linkedin_url,website,industry,company_size,headquarters,founded,specialties,description,email,phone,followers,location_search,followers_search,description_short
Stripe,https://www.linkedin.com/company/stripe/,https://stripe.com,Financial Services,"1,001-5,000 employees","South San Francisco, California",2010,"payments, online payments, financial infrastructure",Stripe is a financial infrastructure platform for businesses.,,,"389,412",,,
Figma,https://www.linkedin.com/company/figma/,https://figma.com,Computer Software,"501-1,000 employees","San Francisco, California",2012,"design, prototyping, collaboration, UI/UX",Figma is a collaborative interface design tool.,,,"192,781",,,
Grab,https://www.linkedin.com/company/grab/,https://grab.com,Internet,"5,001-10,000 employees",Singapore,2012,"ride-hailing, food delivery, fintech, logistics",Grab is the leading superapp platform in Southeast Asia.,,,"441,002",,,
Revolut,https://www.linkedin.com/company/revolut/,https://revolut.com,Financial Services,"10,001+ employees","London, United Kingdom",2015,"neobank, fintech, payments, crypto",Revolut is a global neobank.,,,"275,900",,,
Notion,https://www.linkedin.com/company/notionhq/,https://notion.so,Computer Software,201-500 employees,"San Francisco, California",2016,"productivity, notes, wikis, databases, project management","Notion is the all-in-one workspace for your notes, tasks, wikis, and databases.",,,"267,543",,,
ByteDance,https://www.linkedin.com/company/bytedance/,https://bytedance.com,Internet,"10,001+ employees","Beijing, China",2012,"AI, content platform, TikTok, social media",ByteDance is a technology company that builds AI-driven content platforms.,,,"988,123",,,
Shopify,https://www.linkedin.com/company/shopify/,https://shopify.com,Computer Software,"10,001+ employees","Ottawa, Ontario",2004,"ecommerce, retail, payments, logistics",Shopify is a commerce platform that allows anyone to start and grow a business.,,,"712,004",,,
Klarna,https://www.linkedin.com/company/klarna/,https://klarna.com,Financial Services,"5,001-10,000 employees","Stockholm, Sweden",2005,"buy now pay later, BNPL, payments, ecommerce",Klarna is a Swedish fintech company offering payment solutions.,,,"223,107",,,
Canva,https://www.linkedin.com/company/canva/,https://canva.com,Computer Software,"1,001-5,000 employees","Surry Hills, New South Wales",2012,"graphic design, visual communication, SaaS",Canva is a visual communication platform.,,,"504,381",,,
UiPath,https://www.linkedin.com/company/uipath/,https://uipath.com,Computer Software,"5,001-10,000 employees","New York, New York",2005,"RPA, automation, AI, enterprise software",UiPath is a leading enterprise automation software company.,,,"332,441",,,
VNG Corporation,https://www.linkedin.com/company/vng-corporation/,https://vng.com.vn,Internet,"1,001-5,000 employees","Ho Chi Minh City, ",2004,"gaming, fintech, cloud, messaging, entertainment",VNG is 's leading technology company.,,,"88,521",,,
MoMo,https://www.linkedin.com/company/momo/,https://momo.vn,Financial Services,"1,001-5,000 employees","Ho Chi Minh City, ",2010,"e-wallet, fintech, payments, ",MoMo is 's largest mobile payment platform.,,,"62,004",,,
N26,https://www.linkedin.com/company/n26/,https://n26.com,Financial Services,"1,001-5,000 employees","Berlin, Germany",2013,"neobank, mobile banking, fintech, Europe",N26 is a mobile bank for everyone.,,,"145,632",,,
Nubank,https://www.linkedin.com/company/nubank/,https://nubank.com.br,Financial Services,"10,001+ employees","São Paulo, Brazil",2013,"neobank, credit card, fintech, Latin America",Nubank is the world's largest digital banking platform.,,,"587,221",,,
Wise,https://www.linkedin.com/company/wise/,https://wise.com,Financial Services,"5,001-10,000 employees","London, United Kingdom",2011,"international money transfer, fintech, FX, payments",Wise is a global payments technology company.,,,"198,443",,,
